SchoolName,SchoolPhase,Year,TotalPupils,TotalFSM,FSMTaken
Badger Hill Primary,Primary,2017,195,26,
Bishopthorpe Infant School,Primary,2017,174,9999,9999
Burton Green Primary School,Primary,2017,205,37,
Carr Infant School,Primary,2017,298,29,21
Carr Junior School,Primary,2017,276,49,39
Clifton Green Primary School,Primary,2017,423,87,58
Clifton with Rawcliffe Primary School,Primary,2017,658,16,9
Copmanthorpe Primary School,Primary,2017,394,9999,9999
Dringhouses Primary School,Primary,2017,289,18,7
Dunnington CE Primary School,Primary,2017,255,8,7
Elvington CE Primary School,Primary,2017,148,7,7
Fishergate Primary School,Primary,2017,296,18,18
Haxby Road Primary Academy,Primary,2017,237,49,
Headlands Primary School,Primary,2017,299,12,8
Hempland Primary School,Primary,2017,425,9,
Heworth CE Primary School,Primary,2017,143,9,
Hob Moor Community Primary School,Primary,2017,330,58,38
Huntington Primary Academy,Primary,2017,423,16,
Knavesmire Primary School,Primary,2017,474,18,
Lakeside Primary School,Primary,2017,279,24,22
Lord Deramore's VC Primary School,Primary,2017,202,5,5
Naburn CE Primary School,Primary,2017,83,9999,9999
New Earswick Primary School,Primary,2017,189,27,21
Osbaldwick Primary School,Primary,2017,333,45,39
Our Lady Queen of Martyrs Primary School,Primary,2017,447,26,20
Park Grove Primary School,Primary,2017,268,29,18
Poppleton Ousebank Primary School,Primary,2017,502,12,
Poppleton Road Primary School,Primary,2017,386,48,34
Ralph Butterfield Primary School,Primary,2017,322,5,5
Robert Wilkinson Primary Academy,Primary,2017,655,10,
Rufforth Primary School,Primary,2017,96,7,7
Scarcroft Primary School,Primary,2017,339,25,
Skelton Primary School,Primary,2017,75,8,8
St Aelred's RCVA Primary,Primary,2017,225,33,30
St Barnabas CE Primary School,Primary,2017,155,20,20
St George's Primary School,Primary,2017,197,17,12
St Lawrence's Primary School,Primary,2017,213,40,31
St Mary's CE Primary School,Primary,2017,119,9999,9999
St Oswald's Primary School,Primary,2017,313,8,6
St Pauls CE Primary School,Primary,2017,172,9,8
St Wilfrid's Primary School,Primary,2017,262,10,7
Stockton-on-the-Forest Primary School,Primary,2017,93,9999,9999
Tang Hall Primary School,Primary,2017,244,38,29
Westfield Primary Community School,Primary,2017,589,85,74
Wheldrake CE (Aided) School,Primary,2017,225,9999,9999
Wigginton Primary School,Primary,2017,273,9999,9999
Woodthorpe Primary School,Primary,2017,439,54,43
Yearsley Grove Primary School,Primary,2017,394,57,38
Danesgate Community,PRU,2017,201,72,
Hob Moor Oaks,Special School,2017,106,25,15
All Saints RC,Secondary,2017,1346,51,38
Archbishop Holgate's CE,Secondary,2017,1381,108,
Fulford,Secondary,2017,1384,32,33
Huntington,Secondary,2017,1473,62,41
Joseph Rowntree,Secondary,2017,1267,85,68
Manor CE,Secondary,2017,1023,50,
Millthorpe,Secondary,2017,996,71,
Vale of York,Secondary,2017,518,83,61
York High,Secondary,2017,737,82,57
Applefields,Special School,2017,139,38,31
Acomb Primary School,Primary,2018,314,16,
All Saints RC School,Secondary,2018,1363,53,
Applefields School,Special School,2018,141,42,
Archbishop Holgates CE School,Secondary,2018,1465,119,
Archbishop Of Yorks CE Junior,Primary,2018,249,8,
Badger Hill Primary School,Primary,2018,209,29,
Bishopthorpe Infant School,Primary,2018,164,<5,
Burton Green Primary School,Primary,2018,191,49,
Carr Infant School,Primary,2018,306,36,
Carr Junior School,Primary,2018,284,51,
Clifton Green Primary School,Primary,2018,428,86,
Clifton with Rawcliffe Primary School,Primary,2018,652,23,
Copmanthorpe Primary School,Primary,2018,393,<5,
Danesgate Community,PRU,2018,224,68,
Dringhouses Primary School,Primary,2018,303,9,
Dunnington CE Primary School,Primary,2018,259,5,
Elvington CE Primary School,Primary,2018,139,<5,
Fishergate Primary School,Primary,2018,333,32,
Fulford School,Secondary,2018,1416,37,
Haxby Road Primary Academy,Primary,2018,228,50,
Headlands Primary School,Primary,2018,302,13,
Hempland Primary School,Primary,2018,426,10,
Heworth CE Primary School,Primary,2018,142,7,
Hob Moor Community Primary School,Primary,2018,327,61,
Hob Moor Oaks School,Special School,2018,119,25,
Huntington Primary Academy,Primary,2018,418,19,
Huntington School,Secondary,2018,1466,59,
Joseph Rowntree School,Secondary,2018,1267,86,
Knavesmire Primary School,Primary,2018,474,16,
Lakeside Primary School,Primary,2018,288,22,
Lord Deramores Primary School,Primary,2018,206,7,
Manor CE Academy,Secondary,2018,1047,54,
Millthorpe School,Secondary,2018,1007,65,
Naburn CE Primary School,Primary,2018,77,<5,
New Earswick Primary School,Primary,2018,208,27,
Osbaldwick Primary School,Primary,2018,300,32,
Our Lady Queen of Martyrs RC Primary School,Primary,2018,435,22,
Park Grove Primary Academy,Primary,2018,263,31,
Poppleton Ousebank Primary School,Primary,2018,488,12,
Poppleton Road Primary School,Primary,2018,387,43,
Ralph Butterfield Primary School,Primary,2018,327,10,
Robert Wilkinson Primary School,Primary,2018,644,10,
Rufforth Primary School,Primary,2018,100,6,
Scarcroft Primary School,Primary,2018,367,26,
Skelton Primary School,Primary,2018,80,7,
St Aelred's RC Primary School,Primary,2018,225,37,
St Barnabas' CE Primary School,Primary,2018,166,20,
St George's RC Primary School,Primary,2018,187,20,
St Lawrence's CE Primary School,Primary,2018,188,31,
St Mary's CE Primary School,Primary,2018,117,<5,
St Oswald's CE Primary School,Primary,2018,291,<5,
St Paul's CE Primary School,Primary,2018,173,9,
St Paul's Nursery School,,2018,70,<5,
St Wilfrid's RC Primary School,Primary,2018,271,8,
Stockton On The Forest Primary School,Primary,2018,88,<5,
Tang Hall Primary School,Primary,2018,256,45,
Vale of York Academy,Secondary,2018,528,88,
Westfield Community Primary School,Primary,2018,588,85,
Wheldrake with Thorganby CE Primary School,Primary,2018,220,<5,
Wigginton Primary School,Primary,2018,265,<5,
Woodthorpe Primary School,Primary,2018,436,42,
Yearsley Grove Primary School,Primary,2018,410,54,
York High School,Secondary,2018,737,98,
Acomb Primary School,Primary,2019,324,24,
All Saints RC School,Secondary,2019,1335,69,
Applefields School,Special School,2019,150,47,
Archbishop Holgates CE School,Secondary,2019,1547,144,
Archbishop Of Yorks CE Junior,Primary,2019,251,<5,
Badger Hill Primary School,Primary,2019,202,30,
Bishopthorpe Infant School,Primary,2019,164,<5,
Burton Green Primary School,Primary,2019,173,60,
Carr Infant School,Primary,2019,292,42,
Carr Junior School,Primary,2019,296,52,
Clifton Green Primary School,Primary,2019,442,92,
Clifton with Rawcliffe Primary School,Primary,2019,657,23,
Copmanthorpe Primary School,Primary,2019,383,<5,
Danesgate Community,PRU,2019,210,67,
Dringhouses Primary School,Primary,2019,311,15,
Dunnington CE Primary School,Primary,2019,244,8,
Elvington CE Primary School,Primary,2019,146,<5,
Fishergate Primary School,Primary,2019,324,35,
Fulford School,Secondary,2019,1456,37,
Haxby Road Primary Academy,Primary,2019,245,45,
Headlands Primary School,Primary,2019,303,15,
Hempland Primary School,Primary,2019,422,12,
Heworth CE Primary School,Primary,2019,140,9,
Hob Moor Community Primary School,Primary,2019,327,74,
Hob Moor Oaks School,Special School,2019,107,22,
Huntington Primary Academy,Primary,2019,409,15,
Huntington School,Secondary,2019,1529,93,
Joseph Rowntree School,Secondary,2019,1266,115,
Knavesmire Primary School,Primary,2019,471,20,
Lakeside Primary School,Primary,2019,277,22,
Lord Deramores Primary School,Primary,2019,212,11,
Manor CE Academy,Secondary,2019,1072,62,
Millthorpe School,Secondary,2019,1042,72,
Naburn CE Primary School,Primary,2019,70,<5,
New Earswick Primary School,Primary,2019,209,30,
Osbaldwick Primary School,Primary,2019,311,44,
Our Lady Queen of Martyrs RC Primary School,Primary,2019,423,26,
Park Grove Primary Academy,Primary,2019,267,41,
Poppleton Ousebank Primary School,Primary,2019,485,16,
Poppleton Road Primary School,Primary,2019,390,55,
Ralph Butterfield Primary School,Primary,2019,318,11,
Robert Wilkinson Primary School,Primary,2019,668,22,
Rufforth Primary School,Primary,2019,95,5,
Scarcroft Primary School,Primary,2019,383,31,
Skelton Primary School,Primary,2019,82,5,
St Aelred's RC Primary School,Primary,2019,225,39,
St Barnabas' CE Primary School,Primary,2019,165,27,
St George's RC Primary School,Primary,2019,202,21,
St Lawrence's CE Primary School,Primary,2019,184,34,
St Mary's CE Primary School,Primary,2019,110,<5,
St Oswald's CE Primary School,Primary,2019,307,8,
St Paul's CE Primary School,Primary,2019,175,17,
St Paul's Nursery School,,2019,75,<5,
St Wilfrid's RC Primary School,Primary,2019,267,9,
Stockton On The Forest Primary School,Primary,2019,97,<5,
Tang Hall Primary School,Primary,2019,256,58,
Vale of York Academy,Secondary,2019,561,88,
Westfield Community Primary School,Primary,2019,564,106,
Wheldrake with Thorganby CE Primary School,Primary,2019,218,<5,
Wigginton Primary School,Primary,2019,269,17,
Woodthorpe Primary School,Primary,2019,437,56,
Yearsley Grove Primary School,Primary,2019,413,73,
York High School,Secondary,2019,729,123,
Acomb Primary School,Primary,2020,320,30,
All Saints RC School,Secondary,2020,1388,78,
Applefields School,Special School,2020,164,50,
Archbishop Holgates CE School,Secondary,2020,1622,179,
Archbishop Of Yorks CE Junior,Primary,2020,247,7,
Badger Hill Primary School,Primary,2020,207,28,
Bishopthorpe Infant School,Primary,2020,162,<5,
Burton Green Primary School,Primary,2020,164,54,
Carr Infant School,Primary,2020,260,37,
Carr Junior School,Primary,2020,313,55,
Clifton Green Primary School,Primary,2020,433,110,
Clifton with Rawcliffe Primary School,Primary,2020,634,24,
Copmanthorpe Primary School,Primary,2020,394,8,
Danesgate Community,PRU,2020,215,81,
Dringhouses Primary School,Primary,2020,309,14,
Dunnington CE Primary School,Primary,2020,217,8,
Elvington CE Primary School,Primary,2020,137,<5,
Fishergate Primary School,Primary,2020,329,33,
Fulford School,Secondary,2020,1543,43,
Haxby Road Primary Academy,Primary,2020,252,60,
Headlands Primary School,Primary,2020,305,13,
Hempland Primary School,Primary,2020,421,13,
Heworth CE Primary School,Primary,2020,140,18,
Hob Moor Community Primary School,Primary,2020,313,88,
Hob Moor Oaks School,Special School,2020,107,24,
Huntington Primary Academy,Primary,2020,412,14,
Huntington School,Secondary,2020,1529,109,
Joseph Rowntree School,Secondary,2020,1296,152,
Knavesmire Primary School,Primary,2020,472,22,
Lakeside Primary School,Primary,2020,242,29,
Lord Deramores Primary School,Primary,2020,217,17,
Manor CE Academy,Secondary,2020,1106,72,
Millthorpe School,Secondary,2020,1040,93,
Naburn CE Primary School,Primary,2020,68,5,
New Earswick Primary School,Primary,2020,215,43,
Osbaldwick Primary School,Primary,2020,303,44,
Our Lady Queen of Martyrs RC Primary School,Primary,2020,435,30,
Park Grove Primary Academy,Primary,2020,273,44,
Poppleton Ousebank Primary School,Primary,2020,473,16,
Poppleton Road Primary School,Primary,2020,390,59,
Ralph Butterfield Primary School,Primary,2020,316,21,
Robert Wilkinson Primary School,Primary,2020,641,27,
Rufforth Primary School,Primary,2020,93,5,
Scarcroft Primary School,Primary,2020,398,36,
Skelton Primary School,Primary,2020,86,10,
St Aelred's RC Primary School,Primary,2020,212,35,
St Barnabas' CE Primary School,Primary,2020,154,31,
St George's RC Primary School,Primary,2020,199,26,
St Lawrence's CE Primary School,Primary,2020,205,54,
St Mary's CE Primary School,Primary,2020,107,<5,
St Oswald's CE Primary School,Primary,2020,303,14,
St Paul's CE Primary School,Primary,2020,175,21,
St Paul's Nursery School,,2020,89,<5,
St Wilfrid's RC Primary School,Primary,2020,270,12,
Stockton On The Forest Primary School,Primary,2020,96,6,
Tang Hall Primary School,Primary,2020,263,69,
Vale of York Academy,Secondary,2020,589,102,
Westfield Community Primary School,Primary,2020,550,119,
Wheldrake with Thorganby CE Primary School,Primary,2020,217,5,
Wigginton Primary School,Primary,2020,269,18,
Woodthorpe Primary School,Primary,2020,441,69,
Yearsley Grove Primary School,Primary,2020,432,85,
York High School,Secondary,2020,732,152,
